stature,weightkg,chestcircumference,waistcircumference,buttockcircumference,crotchheight
1560,657,922,850,1011,759
1665,534,839,708,893,835
1711,663,874,727,987,821
1660,782,1008,923,1012,804
1572,886,1089,1163,1281,726
1707,837,1031,968,1085,864
1644,732,988,964,1049,778
1671,760,968,914,1095,803
1521,545,831,755,965,753
1590,684,1010,944,1045,750
1707,990,1065,935,1248,810
1668,742,1034,942,1014,822
1654,781,1063,995,1049,781
1666,718,937,848,1012,801
1599,709,989,929,1000,772
1673,672,940,835,1007,786
1647,620,835,772,969,765
1678,595,897,805,941,833
1679,741,979,868,1011,835
1615,605,853,792,1021,733
1517,800,1090,1137,1107,664
1674,747,941,881,1050,839
1623,491,857,702,867,770
1668,703,973,954,1038,800
1644,715,975,796,981,831
1579,708,1026,1000,1069,774
1446,488,832,742,917,610
1620,691,921,912,997,774
1684,730,1032,913,1042,822
1619,610,904,821,960,802
1592,658,951,930,1056,755
1655,709,950,901,1035,789
1723,728,965,935,1034,839
1677,846,1115,1077,1154,809
1654,945,1170,1112,1184,764
1634,627,895,812,991,801
1683,578,944,869,933,882
1552,524,833,712,900,762
1617,732,1025,1057,1052,792
1588,791,982,964,1086,731
1641,894,1060,1134,1175,744
1685,689,991,869,979,812
1656,758,994,942,1021,775
1603,731,1071,1019,1041,746
1608,748,945,865,1136,743
1664,806,1094,975,1046,795
1619,714,932,814,1030,807
1620,712,1013,947,1053,808
1720,657,910,794,1009,869
1582,477,793,679,880,774
1720,696,954,890,1050,823
1720,1196,1161,1334,1306,804
1701,887,1135,1076,1160,837
1627,754,1095,1007,1075,737
1536,678,1014,897,1044,694
1546,607,946,832,1006,723
1654,572,814,766,981,803
1605,689,940,878,1028,774
1630,712,988,943,1055,794
1612,604,904,825,979,766
1757,697,876,812,985,934
1670,854,1090,1062,1167,825
1632,617,943,914,1051,770
1635,790,1132,987,1066,767
1682,672,977,868,1007,774
1661,695,977,839,1050,777
1596,669,1006,814,974,754
1596,574,936,804,989,758
1665,815,1065,925,1088,775
1617,618,890,805,993,776
1555,645,900,811,1042,771
1578,557,862,757,969,729
1581,614,896,839,967,718
1698,668,943,821,1051,762
1554,730,1092,1001,1028,705
1756,737,920,860,1045,835
1566,693,1071,922,1016,714
1651,757,1001,1012,1057,816
1585,740,1126,981,1049,723
1657,682,982,870,1030,808
1719,867,1069,931,1200,808
1822,882,1061,895,1165,888
1649,786,1031,925,1141,785
1687,622,924,751,985,773
1698,782,999,1019,1115,828
1530,608,865,784,1060,733
1581,674,998,917,1023,712
1609,686,930,865,1032,773
1644,670,934,847,1015,798
1548,635,856,785,1011,760
1606,773,979,1004,1084,732
1642,555,852,759,945,763
1622,727,1014,955,1104,714
1669,593,841,694,947,794
1745,998,1057,1068,1205,845
1495,581,986,948,999,683
1493,642,951,912,1045,691
1641,758,1068,989,1027,790
1607,683,945,887,1051,721
1560,471,826,698,871,729
1625,665,978,822,975,764
1670,685,978,885,1027,766
1616,579,870,764,947,750
1582,647,1080,943,966,725
1730,591,921,809,951,847
1501,450,846,739,874,709
1515,572,959,826,960,674
1576,721,1022,962,1030,738
1628,676,878,849,1029,790
1586,711,1029,951,1048,716
1737,791,936,889,1083,829
1576,536,834,790,974,734
1626,639,931,811,966,790
1604,628,981,831,991,782
1673,788,1037,958,1069,784
1642,598,981,761,955,774
1538,752,1052,1070,1079,724
1574,686,1028,923,1005,733
1637,668,946,949,1055,778
1620,613,930,858,976,753
1733,742,937,859,1041,824
1526,522,810,721,876,714
1732,767,991,908,1069,820
1624,661,985,880,1030,755
1507,505,844,759,902,694
1560,637,965,919,1033,732
1640,666,985,908,980,806
1675,610,862,731,965,806
1526,581,863,820,975,696
1623,609,870,821,932,770
1584,575,815,740,1054,738
1671,797,1057,1024,1100,768
1552,745,1137,932,1090,699
1633,614,874,827,981,738
1530,677,1004,896,1061,715
1606,508,844,738,968,754
1617,633,950,832,1033,763
1645,711,1013,851,1042,748
1681,727,960,859,1049,808
1655,679,992,906,1050,782
1626,833,1069,1028,1136,763
1635,622,838,786,990,800
1572,616,962,853,966,737
1608,573,899,745,950,742
1662,507,828,737,925,795
1582,611,940,802,998,745
1701,866,1156,1045,1114,852
1602,523,886,763,925,742
1549,676,991,955,1090,705
1561,549,899,719,920,755
1677,571,889,746,935,825
1594,644,907,874,1035,754
1628,649,940,772,1018,756
1549,592,949,802,972,725
1559,563,866,719,974,707
1619,580,907,862,955,734
1690,810,983,1044,1088,800
1698,649,895,817,1001,805
1705,654,892,817,997,798
1625,570,875,816,955,795
1666,805,1012,939,1139,771
1559,671,1026,863,1035,732
1595,673,977,915,1064,745
1634,550,812,764,932,799
1643,708,913,899,1068,814
1667,538,943,782,933,782
1661,771,1032,897,1051,783
1560,602,878,817,1008,776
1610,719,971,900,1062,746
1610,617,906,830,1009,766
1682,761,1024,947,1062,781
1604,739,1028,958,1050,754
1540,560,881,767,981,721
1638,647,919,777,948,795
1656,724,918,896,1081,740
1597,708,1118,968,992,771
1749,953,1130,997,1101,880
1661,748,1002,879,1058,775
1526,700,1039,1000,1030,749
1583,655,934,931,1078,733
1533,499,844,748,916,722
1575,553,821,734,940,773
1776,924,1072,1021,1171,825
1713,716,1084,874,1016,806
1653,676,918,803,992,748
1516,641,1032,935,1017,709
