stature,weightkg,chestcircumference,waistcircumference,buttockcircumference,crotchheight
1776,815,1074,933,979,877
1702,726,1021,870,944,851
1735,929,1120,964,1054,854
1655,794,1114,857,991,769
1914,946,1048,868,1029,1014
1720,802,1066,950,973,828
1810,1162,1208,1073,1139,874
1850,954,1087,1010,1068,934
1777,995,1181,1065,1061,875
1811,702,964,824,916,909
1780,882,1117,994,1027,839
1733,701,961,866,928,872
1814,1037,1151,986,1082,923
1861,1116,1231,1045,1112,913
1709,896,1060,1007,1136,804
1740,924,1092,1033,1009,885
1694,779,1085,908,985,810
1766,969,1118,1028,1051,860
1748,760,999,874,974,876
1794,908,1127,999,1035,861
1780,714,1000,837,929,863
1680,746,977,880,1013,785
1653,792,1079,978,1029,807
1959,915,1011,827,1008,1019
1755,965,1098,1030,1056,819
1630,675,957,885,923,788
1825,1073,1158,1130,1146,866
1795,793,964,912,996,857
1745,782,971,864,1016,857
1818,882,1057,965,1048,864
1881,715,957,777,915,924
1760,947,1108,1063,1092,854
1675,665,947,870,917,822
1852,879,1043,966,1047,920
1785,675,965,806,931,865
1791,884,1174,1096,1015,867
1685,695,951,895,941,815
1850,1218,1182,1214,1221,892
1737,719,981,790,931,857
1743,881,1086,1002,1032,818
1744,575,865,748,872,836
1679,876,1205,1043,1026,823
1836,850,1013,864,998,870
1730,865,1152,969,988,829
1762,958,1096,1095,1115,841
1669,667,957,770,901,765
1740,706,985,840,973,838
1709,847,1063,1028,1002,815
1879,1013,1137,1021,1063,904
1674,856,1106,1061,1051,789
1779,1095,1166,1139,1243,829
1844,834,1081,922,1007,894
1637,727,1006,995,981,801
1754,986,1153,1047,1030,833
1704,773,1037,885,954,796
1840,1400,1469,1379,1265,897
1783,674,901,750,897,911
1748,884,1071,970,1067,813
1703,988,1263,1068,1099,839
1852,952,1146,1012,1023,890
1609,566,858,754,877,789
1709,717,1044,926,968,852
1835,717,904,827,952,900
1679,802,1033,940,1032,824
1742,988,1160,1133,1074,821
1698,662,971,843,922,825
1671,807,1050,1021,1025,792
1850,1053,1213,1061,1087,926
1754,683,944,786,939,862
1619,749,989,855,952,786
1772,738,975,830,956,860
1705,604,939,743,823,874
1619,774,1091,967,999,775
1726,768,983,922,976,809
1840,1022,1129,1120,1116,905
1743,963,1205,1060,1071,825
1674,923,1123,1030,1081,765
1750,988,1129,974,1073,872
1819,887,1048,844,1042,876
1799,987,1063,969,1022,915
1750,852,1098,1010,1017,873
1723,748,972,892,972,875
1809,920,1127,1032,1006,888
1791,744,963,851,949,851
1723,823,1098,979,986,816
1578,627,953,857,926,724
1718,778,1024,979,990,842
1799,882,1043,984,1070,844
1740,590,902,721,847,881
1702,730,1008,885,939,804
1737,864,1027,961,1054,841
1730,866,1044,996,1046,830
1785,737,917,838,997,864
1817,654,917,752,884,909
1843,696,924,775,931,896
1791,775,994,809,973,891
1657,727,1001,862,999,802
1701,797,1069,1027,988,822
1786,744,995,797,1007,853
1755,968,1104,1082,1118,821
1791,866,1045,942,965,892
1759,742,1015,871,997,846
1790,920,1109,912,1089,871
1782,814,991,873,983,823
1839,646,844,785,890,901
1880,954,1176,1023,1059,952
1738,853,1085,924,1018,818
1734,900,1085,1001,1047,799
1819,835,1021,901,988,934
1683,851,1096,958,1003,805
1815,897,1063,972,1052,891
1815,872,1030,939,1068,837
1673,822,1106,1003,1022,792
1831,1112,1163,1139,1072,860
1795,987,1089,1162,1153,875
1845,1105,1149,1111,1124,861
1687,782,1041,900,965,776
1756,869,1056,998,997,847
1846,1413,1358,1330,1234,920
1657,789,1025,897,1008,781
1632,690,1000,911,933,777
1735,792,1026,861,1003,850
1726,699,989,920,912,826
1877,1212,1251,1192,1176,880
1887,878,1030,1012,1013,901
1765,706,970,845,911,907
1793,822,1035,843,984,905
1849,992,1076,910,1054,889
1811,760,1038,879,957,883
1739,988,1113,1031,1074,835
1668,759,1011,929,1028,839
1788,898,1024,994,1073,882
1746,782,997,815,968,901
1750,831,1057,983,1001,848
1810,996,1082,1004,1109,893
1710,742,1002,825,963,798
1847,968,1132,1077,1062,931
1811,916,1123,952,1076,874
1780,1080,1175,1047,1119,891
1740,788,1021,851,979,822
1797,949,1115,920,1055,872
1755,906,1112,934,1042,886
1842,1069,1165,1114,1163,910
1656,874,1056,967,1063,821
1776,879,1048,1007,1048,849
1859,1154,1137,1109,1180,916
1685,790,1041,827,987,803
1775,887,1027,947,1078,868
1825,866,1021,881,1016,965
1931,806,1001,833,978,982
1789,966,1126,963,1058,860
1819,1099,1225,1100,1078,883
